micro_topic_id,subject,section,topic,micro_topic,syllabus_ref,group_applicability,depth_level,content_type,topic_category,pyq_frequency,difficulty_trend,prediction_priority,data_confidence,prelims_or_mains,paper
MT-CA-S1-001,Current Affairs,Screening (S1),Current Events,National events and developments,Current Affairs and Events of National and International importance,G2_PLUS,awareness,dynamic,shared_gs,,,,,prelims,screening
MT-CA-S1-002,Current Affairs,Screening (S1),Current Events,International events and developments,Current Affairs and Events of National and International importance,G2_PLUS,awareness,dynamic,shared_gs,,,,,prelims,screening
MT-CA-S1-003,Current Affairs,Screening (S1),Current Events,Important government policies and schemes,Current Affairs and Events of National and International importance,G2_PLUS,awareness,dynamic,shared_gs,,,,,prelims,screening
MT-CA-S1-004,Current Affairs,Screening (S1),Current Events,Bilateral and multilateral relations,Current Affairs and Events of National and International importance,G2_PLUS,awareness,dynamic,shared_gs,,,,,prelims,screening
MT-CA-S1-005,Current Affairs,Screening (S1),Current Events,"Awards, honours, and appointments",Current Affairs and Events of National and International importance,G2_PLUS,awareness,dynamic,shared_gs,,,,,prelims,screening
MT-CA-S1-006,Current Affairs,Screening (S1),Current Events,Science and technology developments,Current Affairs and Events of National and International importance,G2_PLUS,awareness,dynamic,shared_gs,,,,,prelims,screening
MT-CA-S1-007,Current Affairs,Screening (S1),Current Events,Economic and financial updates,Current Affairs and Events of National and International importance,G2_PLUS,awareness,dynamic,shared_gs,,,,,prelims,screening
MT-CA-S1-008,Current Affairs,Screening (S1),Current Events,Andhra Pradesh current developments,Current Affairs and Events of National and International importance,G2_PLUS,awareness,dynamic,ap_specific,,,,,prelims,screening
MT-POLT-S2-001,Polity,Screening (S2),Indian Constitution,Preamble and Salient Features of Constitution,Indian Constitution and Polity – Salient features,G2_PLUS,awareness,static,shared_gs,,,,,prelims,screening
MT-POLT-S2-002,Polity,Screening (S2),Indian Constitution,Fundamental Rights – Articles 12-35,Indian Constitution and Polity – Salient features,G2_PLUS,awareness,static,shared_gs,,,,,prelims,screening
MT-POLT-S2-003,Polity,Screening (S2),Indian Constitution,Directive Principles of State Policy,Indian Constitution and Polity – Salient features,G2_PLUS,awareness,static,shared_gs,,,,,prelims,screening
MT-POLT-S2-004,Polity,Screening (S2),Indian Constitution,Fundamental Duties – Article 51A,Indian Constitution and Polity – Salient features,G2_PLUS,awareness,static,shared_gs,,,,,prelims,screening
MT-POLT-S2-005,Polity,Screening (S2),Indian Constitution,"Union Executive – President, PM, Council of Ministers",Indian Constitution and Polity – Salient features,G2_PLUS,awareness,static,shared_gs,,,,,prelims,screening
