micro_topic_id,subject,section,topic,micro_topic,syllabus_ref,group_applicability,depth_level,content_type,topic_category,pyq_frequency,difficulty_trend,prediction_priority,data_confidence,prelims_or_mains,paper
MT-HIST-A1-001,History,Paper-I (A1),PRE-HISTORIC CULTURES IN INDIA,"Paleolithic Age — Lower Paleolithic — Hand axes, cleavers, choppers; Middle Paleolithic — Flake tools, scrapers; Upper Paleolithic — Blades, burins, bone tools (+1 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-002,History,Paper-I (A1),PRE-HISTORIC CULTURES IN INDIA,"Mesolithic Age — Microliths — Characteristics and distribution; Transition from hunting-gathering to food production; Sites — Bagor, Adamgarh, Langhnaj, Sarai Nahar Rai",History and Culture of India,ALL_GROUPS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-HIST-A1-003,History,Paper-I (A1),PRE-HISTORIC CULTURES IN INDIA,"Neolithic Age — Polished stone tools, pottery, agriculture, domestication; Settled life, pit dwellings, burial practices; Sites — Burzahom, Gufkral, Mehrgarh, Chirand, Koldihwa (+1 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-004,History,Paper-I (A1),PRE-HISTORIC CULTURES IN INDIA,"Chalcolithic Age — Copper-stone phase, regional cultures; Ahar-Banas culture, Kayatha culture, Malwa culture; Jorwe culture, Savalda culture (+2 more)",History and Culture of India,ALL_GROUPS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-HIST-A1-005,History,Paper-I (A1),INDUS VALLEY CIVILIZATION,"Introduction — Discovery — Charles Masson, Alexander Cunningham, John Marshall; Chronology — Early (3300-2600 BCE), Mature (2600-1900 BCE), Late (1900-1300 BCE); Geographical extent — Sutkagendor to Alamgirpur, Manda to Daimabad",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-006,History,Paper-I (A1),INDUS VALLEY CIVILIZATION,"Major Sites — Harappa — Granaries, working floors, R-37 cemetery; Mohenjo-daro — Great Bath, granary, Pashupati seal, dancing girl, priest-king; Dholavira — Signboard, water reservoirs, three-part division (+7 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-007,History,Paper-I (A1),INDUS VALLEY CIVILIZATION,"Town Planning — Grid pattern / Checkerboard layout; Citadel (upper town) and Lower town; Drainage system — Covered drains, manholes, soak pits (+3 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-008,History,Paper-I (A1),INDUS VALLEY CIVILIZATION,"Economy — Agriculture — Wheat, barley, rice, cotton, dates, mustard; Irrigation — Canal irrigation, reservoirs; Trade — Internal and external (Mesopotamia/Dilmun/Magan) (+3 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-009,History,Paper-I (A1),INDUS VALLEY CIVILIZATION,"Society — Absence of clear class hierarchy evidence; Role of women — Mother Goddess worship suggests importance; Occupation patterns — Farmers, artisans, traders (+2 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-010,History,Paper-I (A1),INDUS VALLEY CIVILIZATION,"Religion — Mother Goddess worship; Pashupati seal (Proto-Shiva theory); Nature worship — Trees (Pipal), animals (bull, unicorn) (+2 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-011,History,Paper-I (A1),INDUS VALLEY CIVILIZATION,"Art & Architecture — Seals — Steatite seals, unicorn motif, script (undeciphered); Sculptures — Dancing girl (bronze), Priest-king (steatite), stone torso; Pottery — Painted, black-on-red designs (+1 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-012,History,Paper-I (A1),INDUS VALLEY CIVILIZATION,"Script & Language — Undeciphered script; Boustrophedon style (right to left, left to right); Approx. 400-450 signs (+1 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-013,History,Paper-I (A1),INDUS VALLEY CIVILIZATION,"Decline Theories — Environmental — Climate change, river drying (Ghaggar-Hakra); Floods theory (Marshall, Mackay); Aryan invasion theory (Mortimer Wheeler) — Largely rejected (+3 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-014,History,Paper-I (A1),VEDIC AGE,"Early Vedic Period (1500-1000 BCE) — Rig Vedic society — Pastoral, semi-nomadic; Political organization — Jana, Vis, Grama, Kula; Rajan, Sabha, Samiti; Economy — Cattle rearing (Gavishti = war for cows), agriculture secondary (+3 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-015,History,Paper-I (A1),VEDIC AGE,"Later Vedic Period (1000-600 BCE) — Transition — Settled agriculture, use of iron (Krishna Ayas); Political changes — Large kingdoms (Kuru, Panchala), elaborate rituals; Economy — Agriculture dominant, trade expansion, Nishka as currency (+4 more)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-016,History,Paper-I (A1),VEDIC AGE,"Vedic Literature — Shruti — Vedas, Brahmanas, Aranyakas, Upanishads; Smriti — Vedangas, Sutras, Epics, Puranas; Upanishads — Philosophical core (Brahman, Atman, Karma, Moksha)",History and Culture of India,ALL_GROUPS,understanding,static,shared_gs,,,,,prelims,paper1
MT-HIST-A1-017,History,Paper-I (A1),MAHAJANAPADAS & NEW RELIGIONS (JAINISM & BUDDHISM),"Mahajanapadas (16 Great Kingdoms) — Background — 6th century BCE, Second urbanization; List — Anga, Magadha, Vatsa, Kosala, Kuru, Panchala, Matsya, Surasena,; Four powerful — Magadha, Kosala, Vatsa, Avanti (+2 more)",History and Culture of India,ALL_GROUPS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-HIST-A1-018,History,Paper-I (A1),MAHAJANAPADAS & NEW RELIGIONS (JAINISM & BUDDHISM),"Rise of Magadha — Geographical advantages — Iron, fertile soil, strategic location; Haryanka dynasty — Bimbisara, Ajatashatru (Pataliputra); Shishunaga dynasty — Destroyed Avanti (+1 more)",History and Culture of India,ALL_GROUPS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
