pyq_id,commission,year,paper,question_number,subject,micro_topic_id,question_type,cognitive_level,difficulty,recurrence,ca_linked,question_summary
APPSC-G1-2020-P3-Q1a,APPSC,2020,paper3,1a,Polity,MT-POLT-M3-1-002,ANALYTICAL,L3,medium,first_time,false,Formation of Constituent Assembly and critical evaluation of Indian Constitution
APPSC-G1-2020-P3-Q1b,APPSC,2020,paper3,1b,Polity,MT-POLT-M3-4-006,ANALYTICAL,L3,hard,first_time,false,Judicial Review definition classification by Justice Quadri scope and importance
APPSC-G1-2020-P3-Q2a,APPSC,2020,paper3,2a,Polity,MT-POLT-M3-5-001,ANALYTICAL,L3,medium,first_time,false,Federalism with strong central government and key provisions enabling it
APPSC-G1-2020-P3-Q2b,APPSC,2020,paper3,2b,Polity,MT-POLT-M3-4-005,STATIC,L2,medium,first_time,false,Privileges of state legislature defined and classified into two categories
APPSC-G1-2020-P3-Q3a,APPSC,2020,paper3,3a,Polity,MT-POLT-M3-5-008,STATIC,L2,medium,first_time,false,Main features of 73rd and 74th Constitutional Amendment Acts
APPSC-G1-2020-P3-Q3b,APPSC,2020,paper3,3b,Polity,MT-POLT-M3-4-005,ANALYTICAL,L3,medium,first_time,false,Role of Governor in states focusing on powers and functions
APPSC-G1-2020-P3-Q4a,APPSC,2020,paper3,4a,Polity,MT-POLT-M3-4-004,ANALYTICAL,L3,medium,first_time,false,Differentiate Lok Sabha and Rajya Sabha powers functions and election control
APPSC-G1-2020-P3-Q4b,APPSC,2020,paper3,4b,Polity,MT-POLT-M3-1-003,STATIC,L2,easy,first_time,false,Five salient features of the Indian Constitution explained
APPSC-G1-2020-P3-Q5a,APPSC,2020,paper3,5a,Polity,MT-POLT-M3-4-006,ANALYTICAL,L3,hard,first_time,false,Judicial activism definition via PIL and SAL and impact on political system
APPSC-G1-2020-P3-Q5b,APPSC,2020,paper3,5b,Polity,MT-POLT-M3-5-008,STATIC,L2,medium,repeat_topic,false,Salient features of rural and urban local governance under 73rd and 74th Amendments
APPSC-G1-2020-P3-Q6a,APPSC,2020,paper3,6a,Public Administration,MT-ADMIN-M3-6-001,STATIC,L2,easy,first_time,false,Define public administration and explain its evolution in India
APPSC-G1-2020-P3-Q6b,APPSC,2020,paper3,6b,Public Administration,MT-ADMIN-M3-7-002,ANALYTICAL,L3,medium,first_time,false,Differentiate administrative ideas in Kautilya Arthashastra and Mughal administration
APPSC-G1-2020-P3-Q7a,APPSC,2020,paper3,7a,Public Administration,MT-ADMIN-M3-9-001,ANALYTICAL,L3,hard,first_time,false,Amartya Sen definition of development and new development thinking characteristics
APPSC-G1-2020-P3-Q7b,APPSC,2020,paper3,7b,Public Administration,MT-ADMIN-M3-9-004,ANALYTICAL,L2,medium,first_time,false,Role of NGOs and Civil Services in Democracy
APPSC-G1-2020-P3-Q8a,APPSC,2020,paper3,8a,Public Administration,MT-ADMIN-M3-9-002,ANALYTICAL,L3,medium,first_time,false,UN partnership with civil society and NGO registration Acts in India
APPSC-G1-2020-P3-Q8b,APPSC,2020,paper3,8b,Public Administration,MT-ADMIN-M3-10-003,ANALYTICAL,L3,medium,first_time,false,RTI definition rights under RTI Act 2005 and need for Act despite being FR
APPSC-G1-2020-P3-Q9a,APPSC,2020,paper3,9a,Public Administration,MT-POLT-M3-1-006,STATIC,L2,medium,first_time,false,Statutory bodies work with examples and quasi-judicial bodies in India
APPSC-G1-2020-P3-Q9b,APPSC,2020,paper3,9b,Public Administration,MT-ADMIN-M3-10-005,STATIC,L2,medium,first_time,false,Social audit definition objectives and advantages explained
APPSC-G1-2020-P3-Q10a,APPSC,2020,paper3,10a,Public Administration,MT-POLT-M3-1-010,ANALYTICAL,L3,medium,first_time,false,E-governance strategy in India initiatives and government accountability
APPSC-G1-2020-P3-Q10b,APPSC,2020,paper3,10b,Public Administration,MT-ADMIN-M3-8-001,SCHEME,L2,medium,first_time,true,Government interventions in social sector health and education
APPSC-G1-2020-P3-Q11a,APPSC,2020,paper3,11a,Ethics & Law,MT-ETHICS-M3-11-001,STATIC,L2,medium,first_time,false,Define ethics in Indian tradition and five principles for public service ethics
APPSC-G1-2020-P3-Q11b,APPSC,2020,paper3,11b,Ethics & Law,MT-ETHICS-M3-15-004,ANALYTICAL,L3,medium,first_time,false,Necessity and importance of labour laws and whether reforms benefit workers
APPSC-G1-2020-P3-Q12a,APPSC,2020,paper3,12a,Ethics & Law,MT-ETHICS-M3-12-001,ANALYTICAL,L3,medium,first_time,false,Values of entity value education need and gender inequality recognition in India
APPSC-G1-2020-P3-Q12b,APPSC,2020,paper3,12b,Ethics & Law,MT-ETHICS-M3-14-006,STATIC,L2,medium,first_time,false,Explain the Lokpal and Lokayukta Act provisions
APPSC-G1-2020-P3-Q13a,APPSC,2020,paper3,13a,Ethics & Law,MT-ETHICS-M3-13-003,STATIC,L2,medium,first_time,false,Define moral attitude four qualities and factors shaping political attitude
APPSC-G1-2020-P3-Q13b,APPSC,2020,paper3,13b,Ethics & Law,MT-ETHICS-M3-13-005,ANALYTICAL,L3,hard,first_time,false,Emotional intelligence concept three models and application in governance
APPSC-G1-2020-P3-Q14a,APPSC,2020,paper3,14a,Ethics & Law,MT-ETHICS-M3-14-001,ANALYTICAL,L3,medium,first_time,false,Public service definition trustworthiness fortitude and corruption prevention measures
APPSC-G1-2020-P3-Q14b,APPSC,2020,paper3,14b,Ethics & Law,MT-ETHICS-M3-12-004,STATIC,L2,easy,first_time,false,Role of family society and educational institutions in inculcating values
APPSC-G1-2020-P3-Q15a,APPSC,2020,paper3,15a,Ethics & Law,MT-ETHICS-M3-15-005,STATIC,L2,medium,first_time,false,Different types of cybercrimes and importance of cyber laws in India
APPSC-G1-2020-P3-Q15b,APPSC,2020,paper3,15b,Ethics & Law,MT-ETHICS-M3-11-004,ANALYTICAL,L3,hard,first_time,false,How time and space affect ethics in private and public relationships
APPSC-G1-2023-P3-Q1a,APPSC,2023,paper3,1a,Polity,MT-POLT-M3-2-002,ANALYTICAL,L3,hard,first_time,false,Scope of reasonable restrictions and test of reasonableness under Article 19
APPSC-G1-2023-P3-Q1b,APPSC,2023,paper3,1b,Polity,MT-POLT-M3-5-003,ANALYTICAL,L3,medium,first_time,false,Genesis of Inter-State Council relevance in Centre-State coordination
