micro_topic_id,subject,section,topic,micro_topic,syllabus_ref,group_applicability,depth_level,content_type,topic_category,pyq_frequency,difficulty_trend,prediction_priority,data_confidence,prelims_or_mains,paper
MT-CA-G2P1-1-001,Current Affairs,G2 Paper-I (G2P1-1),Events of national and international importance,National events,Events of national and international importance,G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-CA-G2P1-1-002,Current Affairs,G2 Paper-I (G2P1-1),Events of national and international importance,International events,Events of national and international importance,G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-CA-G2P1-1-003,Current Affairs,G2 Paper-I (G2P1-1),Events of national and international importance,Government policies and schemes,Events of national and international importance,G2_PLUS,understanding,dynamic,shared_gs,,,,,prelims,paper1
MT-CA-G2P1-1-004,Current Affairs,G2 Paper-I (G2P1-1),Events of national and international importance,Awards and appointments,Events of national and international importance,G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-CA-G2P1-1-005,Current Affairs,G2 Paper-I (G2P1-1),Events of national and international importance,Summits and conferences,Events of national and international importance,G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-CA-G2P1-2-001,Current Affairs,G2 Paper-I (G2P1-2),Current affairs,International current affairs,"Current affairs – international, national and regional",G2_PLUS,understanding,dynamic,shared_gs,,,,,prelims,paper1
MT-CA-G2P1-2-002,Current Affairs,G2 Paper-I (G2P1-2),Current affairs,National current affairs,"Current affairs – international, national and regional",G2_PLUS,understanding,dynamic,shared_gs,,,,,prelims,paper1
MT-CA-G2P1-2-003,Current Affairs,G2 Paper-I (G2P1-2),Current affairs,Regional (AP/Telangana) current affairs,"Current affairs – international, national and regional",G2_PLUS,understanding,dynamic,shared_gs,,,,,prelims,paper1
MT-CA-G2P1-2-004,Current Affairs,G2 Paper-I (G2P1-2),Current affairs,Sports events,"Current affairs – international, national and regional",G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-CA-G2P1-2-005,Current Affairs,G2 Paper-I (G2P1-2),Current affairs,"Books, authors, literary events","Current affairs – international, national and regional",G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-SCI-G2P1-3-001,Science,G2 Paper-I (G2P1-3),General Science and applications in day to day life,"Physics in daily life – Mechanics, heat, light, sound",General Science and applications in day to day life,G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-SCI-G2P1-3-002,Science,G2 Paper-I (G2P1-3),General Science and applications in day to day life,"Chemistry in daily life – Acids, bases, salts, polymers",General Science and applications in day to day life,G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-SCI-G2P1-3-003,Science,G2 Paper-I (G2P1-3),General Science and applications in day to day life,"Biology in daily life – Human body, diseases, nutrition",General Science and applications in day to day life,G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-SCI-G2P1-3-004,Science,G2 Paper-I (G2P1-3),General Science and applications in day to day life,Scientific method and discoveries,General Science and applications in day to day life,G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-SCI-G2P1-3-005,Science,G2 Paper-I (G2P1-3),General Science and applications in day to day life,Innovations and technologies in daily use,General Science and applications in day to day life,G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-GEOG-G2P1-4-001,Geography,G2 Paper-I (G2P1-4),India,"Physical features of India – Mountains, plains, plateaus, coasts","India – Physical, Social, Economic Geography",G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-GEOG-G2P1-4-002,Geography,G2 Paper-I (G2P1-4),India,Climate and weather patterns of India,"India – Physical, Social, Economic Geography",G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-GEOG-G2P1-4-003,Geography,G2 Paper-I (G2P1-4),India,Rivers and drainage systems,"India – Physical, Social, Economic Geography",G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-GEOG-G2P1-4-004,Geography,G2 Paper-I (G2P1-4),India,"Soils, natural vegetation, minerals","India – Physical, Social, Economic Geography",G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-GEOG-G2P1-4-005,Geography,G2 Paper-I (G2P1-4),India,Population distribution and urbanization,"India – Physical, Social, Economic Geography",G2_PLUS,understanding,static+dynamic,shared_gs,,,,,prelims,paper1
MT-GEOG-G2P1-4-006,Geography,G2 Paper-I (G2P1-4),India,AP Geography – Physical features and districts,"India – Physical, Social, Economic Geography",G2_PLUS,understanding,static+dynamic,ap_specific,,,,,prelims,paper1
