micro_topic_id,subject,section,topic,micro_topic,syllabus_ref,group_applicability,depth_level,content_type,topic_category,pyq_frequency,difficulty_trend,prediction_priority,data_confidence,prelims_or_mains,paper
MT-POLT-M3-1-001,Polity,Mains Paper-III (M3-1),CONSTITUTIONAL EVOLUTION & SALIENT FEATURES,"Constitutional Development (Pre-Independence) — Regulating Act (1773) — Supreme Court, Governor-General of Bengal; Pitt's India Act (1784) — Board of Control, dual government; Charter Acts (1813, 1833, 1853) — Trade monopoly end, Law Commission (+5 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-002,Polity,Mains Paper-III (M3-1),CONSTITUTIONAL EVOLUTION & SALIENT FEATURES,"Making of the Constitution — Constituent Assembly — Cabinet Mission (1946), 389 members → 299 after partition; First meeting — 9 Dec 1946, Sachidananda Sinha (interim chairman); Rajendra Prasad — Permanent chairman (+4 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-003,Polity,Mains Paper-III (M3-1),CONSTITUTIONAL EVOLUTION & SALIENT FEATURES,"Salient Features — Lengthiest written constitution (395 Articles, 8 Schedules originally; now 470+ Articles, 12 Schedules); Blend of rigidity and flexibility; Federal structure with unitary bias (+8 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-1-004,Polity,Mains Paper-III (M3-1),CONSTITUTIONAL EVOLUTION & SALIENT FEATURES,"Preamble — ""We, the People of India"" — Source of authority; Keywords — Sovereign, Socialist, Secular, Democratic, Republic; Socialist, Secular — Added by 42nd Amendment (1976) (+6 more)","Indian Constitution – Historical underpinnings, evolution, features",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-2-001,Polity,Mains Paper-III (M3-2),"FUNDAMENTAL RIGHTS (Part III, Articles 12-35)","Right to Equality (Articles 14-18) — Art 14 — Equality before law + Equal protection of laws; Art 15 — Prohibition of discrimination (religion, race, caste, sex, place of birth); Art 16 — Equal opportunity in public employment (+2 more)","Fundamental Rights, DPSP, Fundamental Duties, Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-2-002,Polity,Mains Paper-III (M3-2),"FUNDAMENTAL RIGHTS (Part III, Articles 12-35)","Right to Freedom (Articles 19-22) — Art 19 — Six freedoms (speech, assembly, association, movement, residence, profession); Reasonable restrictions under Art 19(2)-(6); Art 20 — Protection against conviction (ex post facto, double jeopardy, self-incrimination) (+3 more)","Fundamental Rights, DPSP, Fundamental Duties, Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-2-003,Polity,Mains Paper-III (M3-2),"FUNDAMENTAL RIGHTS (Part III, Articles 12-35)","Right Against Exploitation (Articles 23-24) — Art 23 — Prohibition of traffic in human beings and forced labor; Art 24 — Prohibition of child labor (factories, mines, hazardous jobs) below 14 years","Fundamental Rights, DPSP, Fundamental Duties, Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-2-004,Polity,Mains Paper-III (M3-2),"FUNDAMENTAL RIGHTS (Part III, Articles 12-35)","Right to Freedom of Religion (Articles 25-28) — Art 25 — Freedom of conscience, free profession, practice, propagation; Art 26 — Freedom to manage religious affairs; Art 27 — Freedom from taxation for religious promotion (+1 more)","Fundamental Rights, DPSP, Fundamental Duties, Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-2-005,Polity,Mains Paper-III (M3-2),"FUNDAMENTAL RIGHTS (Part III, Articles 12-35)",Cultural & Educational Rights (Articles 29-30) — Art 29 — Protection of interests of minorities; Art 30 — Right of minorities to establish and administer educational institutions,"Fundamental Rights, DPSP, Fundamental Duties, Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
MT-POLT-M3-2-006,Polity,Mains Paper-III (M3-2),"FUNDAMENTAL RIGHTS (Part III, Articles 12-35)","Right to Constitutional Remedies (Article 32) — Art 32 — Right to move Supreme Court (Ambedkar: ""Heart and Soul of Constitution""); Five writs — Habeas Corpus, Mandamus, Prohibition, Certiorari, Quo Warranto; Art 226 — High Court writs (wider scope than Art 32)","Fundamental Rights, DPSP, Fundamental Duties, Amendments",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper3
