pyq_id,commission,year,paper,question_number,subject,micro_topic_id,question_type,cognitive_level,difficulty,recurrence,ca_linked,question_summary
APPSC-G2-ARC-P2-001,APPSC,archive,paper2,1,AP History,MT-AP_HIST-G2P2-I1-001,MCQ,L2,medium,first_time,false,Lake mentioned in Pithapuram inscription of Prithvisvara of Velanadu
APPSC-G2-ARC-P2-002,APPSC,archive,paper2,2,AP History,MT-AP_HIST-G2P2-I1-001,MCQ,L2,easy,first_time,false,Raichur Doab formed by confluence of rivers
APPSC-G2-ARC-P2-003,APPSC,archive,paper2,3,AP History,MT-AP_HIST-G2P2-I1-001,MCQ,L1,easy,first_time,false,Old stone age site identification
APPSC-G2-ARC-P2-004,APPSC,archive,paper2,4,AP History,MT-AP_HIST-G2P2-I1-001,MCQ,L1,easy,first_time,false,Evidence of Chalcolithic age in Andhra
APPSC-G2-ARC-P2-005,APPSC,archive,paper2,5,AP History,MT-AP_HIST-G2P2-I1-005,MCQ,L2,medium,first_time,false,Literature referring to Andhras as Andhakaratta
APPSC-G2-ARC-P2-006,APPSC,archive,paper2,6,AP History,MT-AP_HIST-G2P2-I1-001,MCQ,L2,medium,first_time,false,Who located Satavahanas in Ballari based on Myakadoni inscription
APPSC-G2-ARC-P2-007,APPSC,archive,paper2,7,AP History,MT-AP_HIST-G2P2-I1-001,MCQ,L2,medium,first_time,false,Capital of Anupa under Goutami Putra Satakarni
APPSC-G2-ARC-P2-008,APPSC,archive,paper2,8,AP History,MT-AP_HIST-G2P2-I1-001,MCQ,L2,medium,first_time,false,Who issued Junnar Inscription
APPSC-G2-ARC-P2-009,APPSC,archive,paper2,9,AP History,MT-AP_HIST-G2P2-I1-001,MCQ,L2,medium,first_time,false,Inscription of Chanda Satakarni identification
APPSC-G2-ARC-P2-010,APPSC,archive,paper2,10,AP History,MT-AP_HIST-G2P2-I1-002,MCQ,L2,medium,first_time,false,Ikshvaku ruler described as Sri Parvatadhipati
APPSC-G2-ARC-P2-011,APPSC,archive,paper2,11,AP History,MT-AP_HIST-G2P2-I1-002,MCQ,L2,medium,first_time,false,Rudrapurushadatta inscription identification
