pyq_id,commission,year,paper,question_number,subject,micro_topic_id,question_type,cognitive_level,difficulty,recurrence,ca_linked,question_summary
APPSC-G1-2016-P5-Q1a,APPSC,2016,paper5,1a,Science & Technology,MT-SCI-M5-1-002,ANALYTICAL,L3,medium,first_time,false,Salient features of National Data Sharing and Accessibility Policy 2012
APPSC-G1-2016-P5-Q1b-i,APPSC,2016,paper5,1b-i,Science & Technology,MT-SCI-M5-1-003,STATIC,L2,easy,first_time,false,Short note on Indian Science Congress Association (ISCA)
APPSC-G1-2016-P5-Q1b-ii,APPSC,2016,paper5,1b-ii,Science & Technology,MT-SCI-M5-1-003,STATIC,L2,easy,first_time,false,Short note on Council of Scientific and Industrial Research (CSIR)
APPSC-G1-2016-P5-Q1c,APPSC,2016,paper5,1c,Science & Technology,MT-SCI-M5-1-002,ANALYTICAL,L3,medium,first_time,false,Main objectives of Science Technology and Innovation Policy 2013
APPSC-G1-2016-P5-Q1d-i,APPSC,2016,paper5,1d-i,Science & Technology,MT-SCI-M5-7-008,STATIC,L2,easy,first_time,false,Short note on Post Harvest Technology (PHT)
APPSC-G1-2016-P5-Q1d-ii,APPSC,2016,paper5,1d-ii,Science & Technology,MT-SCI-M5-7-008,STATIC,L2,easy,first_time,false,Short note on Oilseeds Production Programme (OPP)
APPSC-G1-2016-P5-Q2a,APPSC,2016,paper5,2a,Science & Technology,MT-SCI-M5-3-001,ANALYTICAL,L3,medium,first_time,false,Describe Mars Orbiter Mission Mangalyaan and its features
APPSC-G1-2016-P5-Q2b-i,APPSC,2016,paper5,2b-i,Science & Technology,MT-SCI-M5-2-001,STATIC,L2,easy,first_time,false,Short note on broadband digital communication
APPSC-G1-2016-P5-Q2b-ii,APPSC,2016,paper5,2b-ii,Science & Technology,MT-SCI-M5-3-001,STATIC,L2,easy,first_time,false,Short note on Fixed-Satellite Services (FSS)
APPSC-G1-2016-P5-Q2c,APPSC,2016,paper5,2c,Science & Technology,MT-SCI-M5-3-001,ANALYTICAL,L3,medium,first_time,false,Applications of Remote Sensing technology in agriculture
APPSC-G1-2016-P5-Q2d-i,APPSC,2016,paper5,2d-i,Science & Technology,MT-SCI-M5-3-001,STATIC,L2,easy,first_time,false,Short note on Mobile Satellite Services (MSS)
APPSC-G1-2016-P5-Q2d-ii,APPSC,2016,paper5,2d-ii,Environment,MT-ENV-M5-5-007,STATIC,L2,easy,first_time,false,Short note on environmental monitoring
APPSC-G1-2016-P5-Q3a,APPSC,2016,paper5,3a,Science & Technology,MT-SCI-M5-2-002,ANALYTICAL,L3,medium,first_time,false,Cloud computing definition and AP Cloud Initiative
APPSC-G1-2016-P5-Q3b,APPSC,2016,paper5,3b,Science & Technology,MT-SCI-M5-2-002,ANALYTICAL,L3,medium,first_time,false,Fiber Grid Project of Andhra Pradesh
APPSC-G1-2016-P5-Q3c,APPSC,2016,paper5,3c,Science & Technology,MT-SCI-M5-2-001,ANALYTICAL,L3,medium,first_time,false,ERP definition and critical issues in ERP project execution
APPSC-G1-2016-P5-Q3d,APPSC,2016,paper5,3d,Science & Technology,MT-SCI-M5-2-001,STATIC,L2,easy,first_time,false,Note on Local Area Network (LAN)
APPSC-G1-2016-P5-Q4a,APPSC,2016,paper5,4a,Science & Technology,MT-SCI-M5-4-002,ANALYTICAL,L3,medium,first_time,false,Short note on Shale Gas Revolution
APPSC-G1-2016-P5-Q4b,APPSC,2016,paper5,4b,Science & Technology,MT-SCI-M5-4-002,ANALYTICAL,L3,hard,first_time,false,Nuclear power growth in India and nuclear fuel reserves
APPSC-G1-2016-P5-Q4c,APPSC,2016,paper5,4c,Science & Technology,MT-SCI-M5-4-003,ANALYTICAL,L3,medium,first_time,false,Scope of renewable energy in energy crisis scenario
APPSC-G1-2016-P5-Q4d,APPSC,2016,paper5,4d,Science & Technology,MT-SCI-M5-4-003,ANALYTICAL,L2,medium,first_time,false,Detailed list of barriers to renewable energy
APPSC-G1-2016-P5-Q5a,APPSC,2016,paper5,5a,Environment,MT-ENV-M5-5-008,ANALYTICAL,L3,medium,first_time,false,Hazard vs disaster and types of coastal natural disasters
APPSC-G1-2016-P5-Q5b,APPSC,2016,paper5,5b,Environment,MT-ENV-M5-5-008,STATIC,L2,medium,first_time,false,Tsunami Warning System of India details
APPSC-G1-2016-P5-Q5c,APPSC,2016,paper5,5c,Environment,MT-ENV-M5-5-008,ANALYTICAL,L3,medium,first_time,false,Common challenges in disaster management plans
APPSC-G1-2016-P5-Q5d,APPSC,2016,paper5,5d,Environment,MT-ENV-M5-5-005,CA_STATIC,L3,hard,first_time,true,COP21 Paris Agreement main points and India's stand
APPSC-G1-2016-P5-Q6a,APPSC,2016,paper5,6a,Science & Technology,MT-SCI-M5-7-003,STATIC,L2,easy,first_time,false,Vitamins classification functions and sources
APPSC-G1-2016-P5-Q6b,APPSC,2016,paper5,6b,Science & Technology,MT-SCI-M5-7-001,ANALYTICAL,L3,medium,first_time,false,Yeast fermentation and industrial use in product making
APPSC-G1-2016-P5-Q6c,APPSC,2016,paper5,6c,Science & Technology,MT-SCI-M5-7-001,ANALYTICAL,L3,medium,first_time,false,Phytohormones groups and commercial use in fruit ripening
APPSC-G1-2016-P5-Q6d,APPSC,2016,paper5,6d,Science & Technology,MT-SCI-M5-7-001,ANALYTICAL,L2,medium,first_time,false,Lactic acid fermentation and milk product making
APPSC-G1-2016-P5-Q7a,APPSC,2016,paper5,7a,Science & Technology,MT-SCI-M5-7-001,STATIC,L2,easy,first_time,false,Essential oils definition and important uses
APPSC-G1-2016-P5-Q7b-i,APPSC,2016,paper5,7b-i,Science & Technology,MT-SCI-M5-7-001,STATIC,L2,easy,first_time,false,Autotrophic vs heterotrophic plants
APPSC-G1-2016-P5-Q7b-ii,APPSC,2016,paper5,7b-ii,Science & Technology,MT-SCI-M5-7-001,STATIC,L2,easy,first_time,false,Symbiosis definition and explanation
APPSC-G1-2016-P5-Q7c-i,APPSC,2016,paper5,7c-i,Science & Technology,MT-SCI-M5-7-001,STATIC,L2,easy,first_time,false,Lichens definition and economic importance
APPSC-G1-2016-P5-Q7c-ii,APPSC,2016,paper5,7c-ii,Science & Technology,MT-SCI-M5-7-001,STATIC,L2,easy,first_time,false,How insects are useful to human beings
APPSC-G1-2016-P5-Q7d-i,APPSC,2016,paper5,7d-i,Science & Technology,MT-SCI-M5-7-003,STATIC,L2,medium,first_time,false,Short note on homeostasis
APPSC-G1-2016-P5-Q7d-ii,APPSC,2016,paper5,7d-ii,Science & Technology,MT-SCI-M5-7-003,STATIC,L2,medium,first_time,false,Animal response to osmotic conditions of medium
APPSC-G1-2016-P5-Q8a,APPSC,2016,paper5,8a,Science & Technology,MT-SCI-M5-7-007,ANALYTICAL,L3,medium,first_time,false,Plant tissue culture and applications in agriculture
APPSC-G1-2016-P5-Q8b,APPSC,2016,paper5,8b,Science & Technology,MT-SCI-M5-7-001,ANALYTICAL,L3,medium,first_time,false,Golden Rice description and advantages
APPSC-G1-2016-P5-Q8c,APPSC,2016,paper5,8c,Science & Technology,MT-SCI-M5-7-008,ANALYTICAL,L3,medium,first_time,false,Biofertilizers types and advantages
APPSC-G1-2016-P5-Q8d,APPSC,2016,paper5,8d,Science & Technology,MT-SCI-M5-7-005,ANALYTICAL,L3,hard,first_time,false,DNA fingerprinting technique and forensic applications
APPSC-G1-2016-P5-Q9a,APPSC,2016,paper5,9a,Science & Technology,MT-SCI-M5-8-007,ANALYTICAL,L3,medium,first_time,false,Disease outbreak patterns epidemic vs endemic diseases
APPSC-G1-2016-P5-Q9b,APPSC,2016,paper5,9b,Science & Technology,MT-SCI-M5-8-009,ANALYTICAL,L3,medium,first_time,false,Chikungunya cause prevention and comparison with Dengue
APPSC-G1-2016-P5-Q9c,APPSC,2016,paper5,9c,Science & Technology,MT-SCI-M5-8-010,ANALYTICAL,L3,medium,first_time,false,Malaria parasite aetiology spread symptoms treatment
APPSC-G1-2016-P5-Q9d,APPSC,2016,paper5,9d,Science & Technology,MT-SCI-M5-8-012,STATIC,L2,easy,first_time,false,Preventive measures to avoid common infections
APPSC-G1-2016-P5-Q10a,APPSC,2016,paper5,10a,Science & Technology,MT-SCI-M5-8-004,ANALYTICAL,L3,medium,first_time,false,Immunisation definition and history of vaccine development
APPSC-G1-2016-P5-Q10b-i,APPSC,2016,paper5,10b-i,Science & Technology,MT-SCI-M5-7-010,STATIC,L2,medium,first_time,false,Short note on edible vaccines
APPSC-G1-2016-P5-Q10b-ii,APPSC,2016,paper5,10b-ii,Science & Technology,MT-SCI-M5-7-003,STATIC,L2,medium,first_time,false,Short note on ELISA test
APPSC-G1-2016-P5-Q10b-iii,APPSC,2016,paper5,10b-iii,Science & Technology,MT-SCI-M5-8-001,STATIC,L2,medium,first_time,false,Short note on autoimmune diseases
APPSC-G1-2016-P5-Q10c,APPSC,2016,paper5,10c,Science & Technology,MT-SCI-M5-8-004,ANALYTICAL,L3,medium,first_time,false,Detailed note on Triple Vaccination
APPSC-G1-2016-P5-Q10d,APPSC,2016,paper5,10d,Science & Technology,MT-SCI-M5-7-010,ANALYTICAL,L4,hard,first_time,false,Biotechnological intervention transforming vaccination technology
APPSC-G1-2016-P5-Q11a,APPSC,2016,paper5,11a,Environment,MT-ENV-M5-5-006,STATIC,L2,medium,first_time,false,Functions of State Pollution Control Board
APPSC-G1-2016-P5-Q11b,APPSC,2016,paper5,11b,Environment,MT-ENV-M5-6-004,ANALYTICAL,L3,hard,first_time,false,Environmental Clearance procedure under EIA Notification 2006
APPSC-G1-2016-P5-Q11c,APPSC,2016,paper5,11c,Environment,MT-ENV-M5-5-009,ANALYTICAL,L3,medium,first_time,false,Environmentalism and planetary problems with solutions
APPSC-G1-2016-P5-Q11d,APPSC,2016,paper5,11d,Environment,MT-ENV-M5-6-004,STATIC,L2,hard,first_time,false,Projects not requiring public consultation for Environmental Clearance
APPSC-G1-2016-P5-Q12a,APPSC,2016,paper5,12a,Environment,MT-ENV-M5-5-008,STATIC,L2,medium,first_time,false,Classification of dams based on structure and design
APPSC-G1-2016-P5-Q12b,APPSC,2016,paper5,12b,Environment,MT-ENV-M5-5-008,CA_STATIC,L2,medium,first_time,true,AP Sand Mining Policy 2016
APPSC-G1-2016-P5-Q12c,APPSC,2016,paper5,12c,Environment,MT-ENV-M5-5-008,ANALYTICAL,L3,medium,first_time,false,Suitability basis for crop and cropping pattern
APPSC-G1-2016-P5-Q12d,APPSC,2016,paper5,12d,Environment,MT-ENV-M5-5-008,STATIC,L2,easy,first_time,false,Mineral resources definition formation and types
APPSC-G1-2016-P5-Q13a,APPSC,2016,paper5,13a,Environment,MT-ENV-M5-5-001,STATIC,L2,easy,first_time,false,Ecosystem definition and food chain system
APPSC-G1-2016-P5-Q13b,APPSC,2016,paper5,13b,Environment,MT-ENV-M5-5-002,ANALYTICAL,L3,medium,first_time,false,Impact of urbanisation on biodiversity
APPSC-G1-2016-P5-Q13c,APPSC,2016,paper5,13c,Environment,MT-ENV-M5-5-002,ANALYTICAL,L3,medium,first_time,false,Major threats to biodiversity and types of biodiversities
