pyq_id,commission,year,paper,question_number,subject,micro_topic_id,question_type,cognitive_level,difficulty,recurrence,ca_linked,question_summary,notes
APPSC-G1-2016-P3-1A,APPSC,2016,paper3,1A,Economy,MT-ECON-M4-1-003,ANALYTICAL,L3,hard,first_time,false,Difficulties in measuring economic development level and Indian methods,Paper III format; national income measurement
APPSC-G1-2016-P3-1B,APPSC,2016,paper3,1B,Economy,MT-ECON-M4-1-003,ANALYTICAL,L3,medium,first_time,false,Recent base year revision and national income accounting changes,Base year change from 2004-05 to 2011-12
APPSC-G1-2016-P3-2A,APPSC,2016,paper3,2A,Economy,MT-ECON-M4-2-002,ANALYTICAL,L3,medium,first_time,false,Employment weaknesses during reform period per 11th Plan,Unemployment + planning overlap
APPSC-G1-2016-P3-2B,APPSC,2016,paper3,2B,Economy,MT-ECON-M4-1-002,ANALYTICAL,L2,medium,first_time,false,Guiding principles in setting up NITI Aayog,Planning institution reform
APPSC-G1-2016-P3-3A,APPSC,2016,paper3,3A,Economy,MT-ECON-M4-6-002,ANALYTICAL,L3,medium,first_time,false,Limitations in India poverty alleviation strategy,Poverty alleviation policy critique
APPSC-G1-2016-P3-3B,APPSC,2016,paper3,3B,Economy,MT-ECON-M4-2-002,ANALYTICAL,L3,hard,first_time,false,Consequences of rural unemployment on society with remedies,Rural unemployment analysis
APPSC-G1-2016-P3-4A,APPSC,2016,paper3,4A,Economy,MT-ECON-M4-3-001,ANALYTICAL,L3,hard,first_time,false,Expert committee recommendations to revise monetary policy framework,Urjit Patel committee reference
APPSC-G1-2016-P3-4B,APPSC,2016,paper3,4B,Economy,MT-ECON-M4-7-004,ANALYTICAL,L3,medium,first_time,false,Need for Regional Rural Banks and their problems and revisions,RRB evolution and challenges
APPSC-G1-2016-P3-5A,APPSC,2016,paper3,5A,Economy,MT-ECON-M4-5-004,STATIC,L2,medium,first_time,false,Highlights of FRBM Act 2003,Fiscal responsibility legislation
APPSC-G1-2016-P3-5B,APPSC,2016,paper3,5B,Economy,MT-ECON-M4-4-003,ANALYTICAL,L3,hard,first_time,false,Revenue deficit vs effective revenue deficit concept and Union Budget targets,Deficit types analysis
APPSC-G1-2016-P3-6A,APPSC,2016,paper3,6A,Economy,MT-ECON-M4-7-006,ANALYTICAL,L3,medium,first_time,false,Reasons for land ceiling and its disadvantages to economy,ap_specific; land reforms
APPSC-G1-2016-P3-6B,APPSC,2016,paper3,6B,Economy,MT-ECON-M4-7-006,ANALYTICAL,L3,hard,first_time,false,AP Land Licensed Cultivators Act 2011 need and implementation problems,ap_specific; AP-specific land law
APPSC-G1-2016-P3-7A,APPSC,2016,paper3,7A,Economy,MT-ECON-M4-8-001,ANALYTICAL,L2,medium,first_time,false,AP strategies for agriculture extension program mission,ap_specific; AP agriculture extension
APPSC-G1-2016-P3-7B,APPSC,2016,paper3,7B,Economy,MT-ECON-M4-6-014,ANALYTICAL,L3,hard,first_time,false,AP Rural Inclusive Growth Project pillars and key result indicators,ap_specific; AP rural development
APPSC-G1-2016-P3-8A,APPSC,2016,paper3,8A,Economy,MT-ECON-M4-2-003,STATIC,L2,medium,first_time,false,Trends in literacy rates in Andhra Pradesh,ap_specific; AP demographics
APPSC-G1-2016-P3-8B,APPSC,2016,paper3,8B,Economy,MT-ECON-M4-1-011,SCHEME,L2,medium,first_time,false,Employment through Jawahar Knowledge Centres in AP,ap_specific; AP skill/employment scheme
APPSC-G1-2016-P3-9A,APPSC,2016,paper3,9A,Economy,MT-ECON-M4-5-001,ANALYTICAL,L3,hard,first_time,true,AP Budget 2016-17 distinct aspects and revenue/fiscal deficit causes,ap_specific; CA_linked to budget year
APPSC-G1-2016-P3-9B,APPSC,2016,paper3,9B,Economy,MT-ECON-M4-5-001,ANALYTICAL,L3,hard,first_time,false,Revenue receipts as % of GSDP trends 2002-2014 in AP,ap_specific; AP fiscal trends
APPSC-G1-2016-P3-10A,APPSC,2016,paper3,10A,Economy,MT-ECON-M4-8-001,ANALYTICAL,L3,medium,first_time,false,AP agriculture sector performance during 11th Plan period,ap_specific; plan performance
APPSC-G1-2016-P3-10B,APPSC,2016,paper3,10B,Economy,MT-ECON-M4-6-002,STATIC,L2,medium,first_time,false,Central flagship programmes implemented in AP during 11th Plan,ap_specific; central schemes
APPSC-G1-2016-P3-11A,APPSC,2016,paper3,11A,Economy,MT-ECON-M4-10-001,STATIC,L2,medium,first_time,false,AP Industrial Investment Promotion Policy 2015-20 salient features,ap_specific; AP industrial policy
APPSC-G1-2016-P3-11B,APPSC,2016,paper3,11B,Economy,MT-ECON-M4-12-003,ANALYTICAL,L2,medium,first_time,false,AP Capital Region Development Authority Bill 2014 need and features,ap_specific; Amaravati CRDA
APPSC-G1-2016-P3-12A,APPSC,2016,paper3,12A,Economy,MT-ECON-M4-7-003,ANALYTICAL,L2,medium,first_time,false,Recent initiatives to help farmers increase agricultural productivity,Agriculture productivity initiatives
APPSC-G1-2016-P3-12B,APPSC,2016,paper3,12B,Economy,MT-ECON-M4-6-005,ANALYTICAL,L3,medium,first_time,false,Fair Price Shop automation and portability in PDS,PDS reform - FPS automation
APPSC-G1-2016-P3-13A,APPSC,2016,paper3,13A,Economy,MT-ECON-M4-12-004,STATIC,L2,medium,first_time,false,Polavaram irrigation project salient features and benefits,ap_specific; major AP project
APPSC-G1-2016-P3-13B,APPSC,2016,paper3,13B,Economy,MT-ECON-M4-6-003,SCHEME,L2,medium,first_time,false,PPP model health services under Dr NTR Vaidya Seva programme,ap_specific; AP health scheme
APPSC-G1-2016-P3-14A,APPSC,2016,paper3,14A,Economy,MT-ECON-M4-7-006,SCHEME,L2,medium,first_time,false,AP farmers debt redemption scheme highlights and benefits,ap_specific; farm loan waiver
APPSC-G1-2016-P3-14B,APPSC,2016,paper3,14B,Economy,MT-ECON-M4-7-004,ANALYTICAL,L4,hard,first_time,false,Rural debt trap from institutional and non-institutional sources in AP,ap_specific; rural indebtedness
APPSC-G1-2016-P3-15A,APPSC,2016,paper3,15A,Economy,MT-ECON-M4-11-003,SCHEME,L2,medium,first_time,false,AP e-Pragati initiative and its benefits,ap_specific; AP e-governance
APPSC-G1-2016-P3-15B,APPSC,2016,paper3,15B,Economy,MT-ECON-M4-11-004,ANALYTICAL,L2,medium,first_time,false,Smart Village Smart Ward towards Smart AP - explain,ap_specific; AP smart governance
APPSC-G1-2017-P3-1A,APPSC,2017,paper3,1A,Economy,MT-ECON-M4-1-003,ANALYTICAL,L3,hard,first_time,false,Sectoral contribution to national income since independence and Kuznets-Clark hypothesis,File mislabeled as 2016_SAE-104; actually 2017 paper
APPSC-G1-2017-P3-1B,APPSC,2017,paper3,1B,Economy,MT-ECON-M4-1-004,ANALYTICAL,L2,medium,first_time,false,Human development and Gross National Happiness Index measurement,HDI/GNH concepts
APPSC-G1-2017-P3-2A,APPSC,2017,paper3,2A,Economy,MT-ECON-M4-9-002,ANALYTICAL,L3,medium,first_time,false,Economic reforms aim to improve competitiveness and efficiency - discuss,LPG reform impact
APPSC-G1-2017-P3-2B,APPSC,2017,paper3,2B,Economy,MT-ECON-M4-9-001,STATIC,L2,medium,first_time,false,National Manufacturing Policy features and manufacturing role in employment,NMP + manufacturing employment
APPSC-G1-2017-P3-3A,APPSC,2017,paper3,3A,Economy,MT-ECON-M4-6-001,ANALYTICAL,L3,hard,first_time,true,Universal Basic Income concept per Economic Survey 2016-17,CA_linked to Economic Survey 2016-17
APPSC-G1-2017-P3-3B,APPSC,2017,paper3,3B,Economy,MT-ECON-M4-2-004,ANALYTICAL,L3,medium,first_time,false,Relative poverty and Gini coefficient and Lorenz curve measurement,Inequality measurement tools
APPSC-G1-2017-P3-4A,APPSC,2017,paper3,4A,Economy,MT-ECON-M4-1-018,ANALYTICAL,L4,very_hard,first_time,true,Demonetization objectives impact on sectors and cashless economy scope,CA_linked Nov 2016 demonetization
APPSC-G1-2017-P3-4B,APPSC,2017,paper3,4B,Economy,MT-ECON-M4-2-006,ANALYTICAL,L3,hard,first_time,false,India public debt causes and consequences 1991 to date,Public debt post-liberalization
APPSC-G1-2017-P3-5A,APPSC,2017,paper3,5A,Economy,MT-ECON-M4-11-012,ANALYTICAL,L3,medium,first_time,false,Selfish attitude as sole cause of environmental degradation - discuss,Environment-economy linkage
APPSC-G1-2017-P3-5B,APPSC,2017,paper3,5B,Economy,MT-ECON-M4-11-005,ANALYTICAL,L3,medium,first_time,false,PPP in healthcare and basic education in India,PPP in social sectors
APPSC-G1-2017-P3-6A,APPSC,2017,paper3,6A,Economy,MT-ECON-M4-7-006,ANALYTICAL,L3,hard,first_time,false,Koneru Ranga Rao committee 2004 and land reform recommendations in AP,ap_specific; AP land reforms
APPSC-G1-2017-P3-6B,APPSC,2017,paper3,6B,Economy,MT-ECON-M4-7-006,ANALYTICAL,L3,hard,first_time,false,Evolution of tenancy reforms in AP and AP Tenancy Act 1956,ap_specific; AP tenancy law
APPSC-G1-2017-P3-7A,APPSC,2017,paper3,7A,Economy,MT-ECON-M4-3-007,ANALYTICAL,L3,hard,first_time,false,AP economy structural composition in terms of GVA 2014-17,ap_specific; AP GSDP structure
APPSC-G1-2017-P3-7B,APPSC,2017,paper3,7B,Economy,MT-ECON-M4-6-014,ANALYTICAL,L3,medium,first_time,false,SERP role in reducing rural poverty in AP,ap_specific; AP poverty reduction
APPSC-G1-2017-P3-8A,APPSC,2017,paper3,8A,Economy,MT-ECON-M4-6-007,ANALYTICAL,L3,medium,first_time,false,AP Government programmes for women empowerment,ap_specific; AP women schemes
APPSC-G1-2017-P3-8B,APPSC,2017,paper3,8B,Economy,MT-ECON-M4-2-003,ANALYTICAL,L3,medium,first_time,false,Occupational structure in Andhra Pradesh - critical evaluation,ap_specific; AP employment structure
APPSC-G1-2017-P3-9A,APPSC,2017,paper3,9A,Economy,MT-ECON-M4-5-002,ANALYTICAL,L3,hard,first_time,false,Central assistance to AP post-reorganization financial situation,ap_specific; post-bifurcation central aid
APPSC-G1-2017-P3-9B,APPSC,2017,paper3,9B,Economy,MT-ECON-M4-5-001,ANALYTICAL,L3,hard,first_time,false,AP revenue sources and trends before and after reorganization 2011-17,ap_specific; AP revenue trends
APPSC-G1-2017-P3-10A,APPSC,2017,paper3,10A,Economy,MT-ECON-M4-1-002,ANALYTICAL,L2,medium,first_time,false,Monitorable targets 11th Plan and resource allocation 10th-11th Plan AP,ap_specific; AP planning
APPSC-G1-2017-P3-10B,APPSC,2017,paper3,10B,Economy,MT-ECON-M4-1-004,ANALYTICAL,L3,hard,first_time,false,AP strategy for sustainable development goals by 2030,ap_specific; AP SDG strategy
APPSC-G1-2017-P3-11A,APPSC,2017,paper3,11A,Economy,MT-ECON-M4-9-005,ANALYTICAL,L2,medium,first_time,false,Growth and structure of small and tiny sector in AP per 6th Economic Census,ap_specific; AP MSME data
APPSC-G1-2017-P3-11B,APPSC,2017,paper3,11B,Economy,MT-ECON-M4-6-005,ANALYTICAL,L3,medium,first_time,false,Aadhaar enabled e-PDS (AePDS) functioning in AP,ap_specific; AP PDS reform
APPSC-G1-2017-P3-12A,APPSC,2017,paper3,12A,Economy,MT-ECON-M4-8-001,ANALYTICAL,L3,medium,first_time,false,Food and non-food crop output and productivity trends in AP since 2000,ap_specific; AP crop productivity
APPSC-G1-2017-P3-12B,APPSC,2017,paper3,12B,Economy,MT-ECON-M4-8-003,STATIC,L2,medium,first_time,false,Handri-Neeva Sujala Sravanthi project features and Rayalaseema water needs,ap_specific; AP irrigation project
APPSC-G1-2017-P3-13A,APPSC,2017,paper3,13A,Economy,MT-ECON-M4-6-013,ANALYTICAL,L3,hard,first_time,false,Present state of microfinance in AP after earlier crisis,ap_specific; AP microfinance crisis
APPSC-G1-2017-P3-13B,APPSC,2017,paper3,13B,Economy,MT-ECON-M4-12-006,ANALYTICAL,L3,hard,first_time,false,Impact of reorganization on AP power sector and government steps,ap_specific; AP power sector post-bifurcation
APPSC-G1-2017-P3-14A,APPSC,2017,paper3,14A,Economy,MT-ECON-M4-9-004,ANALYTICAL,L3,hard,first_time,false,East Coast Economic Corridor Phase-I objectives and node-centric development,ap_specific; ECEC industrial corridor
APPSC-G1-2017-P3-14B,APPSC,2017,paper3,14B,Economy,MT-ECON-M4-10-004,ANALYTICAL,L2,medium,first_time,false,AP State Mineral Policy for eco-friendly sustainable mining,ap_specific; AP mineral policy
APPSC-G1-2017-P3-15A,APPSC,2017,paper3,15A,Economy,MT-ECON-M4-1-007,ANALYTICAL,L3,medium,first_time,false,AP Infrastructure Mission features and role in Vision 2029,ap_specific; AP infrastructure vision
APPSC-G1-2017-P3-15B,APPSC,2017,paper3,15B,Economy,MT-ECON-M4-6-003,SCHEME,L2,medium,first_time,false,Arogya Raksha scheme and comparison with other AP health insurance,ap_specific; AP health insurance
APPSC-G1-2020-P4-1A,APPSC,2020,paper4,1A,Economy,MT-ECON-M4-9-003,ANALYTICAL,L2,medium,first_time,false,Government initiatives to boost manufacturing sector growth in India,Make in India and related schemes
APPSC-G1-2020-P4-1B,APPSC,2020,paper4,1B,Economy,MT-ECON-M4-7-001,ANALYTICAL,L2,medium,repeat_topic,false,Major factors leading to low agricultural productivity in India,Agriculture productivity - repeat theme
APPSC-G1-2020-P4-2A,APPSC,2020,paper4,2A,Economy,MT-ECON-M4-2-005,ANALYTICAL,L3,medium,first_time,false,Factors responsible for narrow tax base in India,Tax base narrowness analysis
APPSC-G1-2020-P4-2B,APPSC,2020,paper4,2B,Economy,MT-ECON-M4-2-006,ANALYTICAL,L3,medium,repeat_topic,false,Public debt definition components and trends since 2010,Public debt - repeat from 2017
APPSC-G1-2020-P4-3A,APPSC,2020,paper4,3A,Economy,MT-ECON-M4-5-005,ANALYTICAL,L3,hard,first_time,false,AP revenue and fiscal deficits and debt position last five years since 2014-15,ap_specific; AP fiscal health
APPSC-G1-2020-P4-3B,APPSC,2020,paper4,3B,Economy,MT-ECON-M4-1-008,STATIC,L2,medium,first_time,false,Mineral and forest resources of Andhra Pradesh,ap_specific; AP natural resources
APPSC-G1-2020-P4-4A,APPSC,2020,paper4,4A,Economy,MT-ECON-M4-4-005,ANALYTICAL,L3,hard,first_time,false,14th Finance Commission recommendations on local govt grants and FRBM,Finance Commission + FRBM
APPSC-G1-2020-P4-4B,APPSC,2020,paper4,4B,Economy,MT-ECON-M4-4-003,ANALYTICAL,L2,medium,repeat_topic,false,Revenue deficit vs fiscal deficit vs primary deficit and deficit financing impact,Deficit types - repeat theme from 2016
APPSC-G1-2020-P4-5A,APPSC,2020,paper4,5A,Economy,MT-ECON-M4-5-002,ANALYTICAL,L3,hard,repeat_topic,false,Central assistance to AP under Reorganization Act and 14th Finance Commission,ap_specific; repeat from 2017
APPSC-G1-2020-P4-5B,APPSC,2020,paper4,5B,Economy,MT-ECON-M4-5-001,ANALYTICAL,L3,medium,first_time,true,AP Budget 2020-21 major features with fiscal deficit reference,ap_specific; CA_linked budget year
APPSC-G1-2020-P4-6A,APPSC,2020,paper4,6A,Economy,MT-ECON-M4-6-001,ANALYTICAL,L3,medium,first_time,false,Rural-urban poverty trends in AP and factors for its existence,ap_specific; AP poverty analysis
APPSC-G1-2020-P4-6B,APPSC,2020,paper4,6B,Economy,MT-ECON-M4-6-005,ANALYTICAL,L3,medium,repeat_topic,false,Major issues concerning Public Distribution System in AP,ap_specific; PDS issues repeat
APPSC-G1-2020-P4-7A,APPSC,2020,paper4,7A,Economy,MT-ECON-M4-7-005,ANALYTICAL,L2,medium,first_time,false,What is e-NAM and challenges in its implementation,e-NAM agricultural market
APPSC-G1-2020-P4-7B,APPSC,2020,paper4,7B,Economy,MT-ECON-M4-7-001,STATIC,L2,easy,first_time,false,Rainbow revolution meaning and objectives,Agriculture revolutions concept
APPSC-G1-2020-P4-8A,APPSC,2020,paper4,8A,Economy,MT-ECON-M4-8-001,ANALYTICAL,L3,medium,repeat_topic,false,AP agriculture and allied sector growth impact on farmer incomes,ap_specific; AP farm income
APPSC-G1-2020-P4-8B,APPSC,2020,paper4,8B,Economy,MT-ECON-M4-8-004,SCHEME,L2,medium,first_time,false,AP government schemes to promote agriculture in the state,ap_specific; AP agriculture schemes
