micro_topic_id,subject,section,topic,micro_topic,syllabus_ref,group_applicability,depth_level,content_type,topic_category,pyq_frequency,difficulty_trend,prediction_priority,data_confidence,prelims_or_mains,paper
MT-ECON-M4-1-001,Economy,Mains Paper-IV (M4-1),BASIC CHARACTERISTICS & ECONOMIC PLANNING,"Indian Economy as Developing Economy — Mixed economy — Public + Private sectors; Low per capita income, Agrarian economy transitioning; Demographic dividend — Large young population (+2 more)","Economic challenges – Poverty, unemployment, regional disparities",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper4
MT-ECON-M4-1-002,Economy,Mains Paper-IV (M4-1),BASIC CHARACTERISTICS & ECONOMIC PLANNING,"Economic Planning — Planning Commission (1950-2014) — Five Year Plans; Key Plans: 1st (agriculture), 2nd (Mahalanobis model, heavy industry), Green Revolution (3rd-5th), Liberalization (8th onwards); NITI Aayog (2015-present) (+3 more)","Economic challenges – Poverty, unemployment, regional disparities",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper4
MT-ECON-M4-1-003,Economy,Mains Paper-IV (M4-1),BASIC CHARACTERISTICS & ECONOMIC PLANNING,"National Income — Concepts — GDP, GNP, NDP, NNP, Per Capita Income; GDP at Market Price vs Factor Cost; Nominal vs Real GDP (+3 more)","Economic challenges – Poverty, unemployment, regional disparities",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper4
MT-ECON-M4-1-004,Economy,Mains Paper-IV (M4-1),BASIC CHARACTERISTICS & ECONOMIC PLANNING,"Growth & Development — Economic Growth vs Economic Development; Inclusive Growth — Growth with equity; Sustainable Development — Balancing economic, social, environmental goals (+1 more)","Economic challenges – Poverty, unemployment, regional disparities",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper4
MT-ECON-M4-2-001,Economy,Mains Paper-IV (M4-2),"POVERTY, UNEMPLOYMENT & DEMOGRAPHICS","Poverty — Poverty line — Tendulkar Committee, Rangarajan Committee; Multi-dimensional poverty — UNDP MPI; Rural vs Urban poverty (+2 more)","Resource Mobilization – Taxation, public debt, FDI, savings",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper4
MT-ECON-M4-2-002,Economy,Mains Paper-IV (M4-2),"POVERTY, UNEMPLOYMENT & DEMOGRAPHICS","Unemployment — Types — Structural, Cyclical, Seasonal, Disguised, Frictional; Measurement — NSSO/PLFS surveys; Youth unemployment crisis (+2 more)","Resource Mobilization – Taxation, public debt, FDI, savings",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper4
MT-ECON-M4-2-003,Economy,Mains Paper-IV (M4-2),"POVERTY, UNEMPLOYMENT & DEMOGRAPHICS","Demographics — Population trends — Census data, growth rate declining; Demographic transition — Stage analysis; Sex ratio, Literacy, Urbanization trends (+2 more)","Resource Mobilization – Taxation, public debt, FDI, savings",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper4
MT-ECON-M4-2-004,Economy,Mains Paper-IV (M4-2),"POVERTY, UNEMPLOYMENT & DEMOGRAPHICS","Inequality — Income inequality — Gini coefficient, Wealth concentration; Regional disparities — North-South, East-West; Social inequality — Caste, gender dimensions","Resource Mobilization – Taxation, public debt, FDI, savings",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper4
MT-ECON-M4-7-001,Economy,Mains Paper-IV (M4-7),AGRICULTURE,"Indian Agriculture — Contribution to GDP — Declining but 50%+ workforce; Cropping patterns — Kharif, Rabi, Zaid; Green Revolution — HYV seeds, irrigation, fertilizers (+1 more)","Indian Agriculture – Green revolution, food security, MSP, agri credit",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper4
MT-ECON-M4-7-002,Economy,Mains Paper-IV (M4-7),AGRICULTURE,"Irrigation & Water — Sources — Canals, wells, tanks, tube wells; Major river basins, inter-linking projects; Micro-irrigation — Drip, sprinkler (PMKSY)","Indian Agriculture – Green revolution, food security, MSP, agri credit",G2_PLUS,analytical,static+dynamic,shared_gs,,,,,mains,paper4
