pyq_id,commission,year,paper,question_number,subject,micro_topic_id,question_type,cognitive_level,difficulty,recurrence,ca_linked,question_summary
APPSC-G1-2016-P2-001a,APPSC,2016,paper2,1a,History,MT-HIST-M2-2-016,ANALYTICAL,L3,medium,first_time,false,Compare Hinayana and Mahayana Buddhism and reasons for rise and decline
APPSC-G1-2016-P2-001b,APPSC,2016,paper2,1b,History,MT-HIST-M2-3-012,ANALYTICAL,L2,medium,first_time,false,Major schools of art in post-Mauryan period and their features
APPSC-G1-2016-P2-002a,APPSC,2016,paper2,2a,History,MT-HIST-M2-4-028,ANALYTICAL,L2,medium,first_time,false,Contributions of Great Mughals to Indian architecture
APPSC-G1-2016-P2-002b,APPSC,2016,paper2,2b,History,MT-HIST-M2-4-015,ANALYTICAL,L2,medium,first_time,false,Cultural contribution of Vijayanagar Empire
APPSC-G1-2016-P2-003a,APPSC,2016,paper2,3a,History,MT-HIST-M2-5-019,ANALYTICAL,L3,medium,first_time,false,Period 1885-1905 moderates contribution in organizing national movement
APPSC-G1-2016-P2-003b,APPSC,2016,paper2,3b,History,MT-HIST-M2-5-006,ANALYTICAL,L3,medium,first_time,false,Nature and significance of 1857 revolt as First War of Independence
APPSC-G1-2016-P2-004a,APPSC,2016,paper2,4a,History,MT-HIST-M2-5-021,ANALYTICAL,L3,hard,first_time,false,Effectiveness of Gandhis methods to mobilize masses
APPSC-G1-2016-P2-004b,APPSC,2016,paper2,4b,History,MT-HIST-M2-5-015,ANALYTICAL,L4,hard,first_time,false,Ambedkars statement on constitutional methods and protecting democracy
APPSC-G1-2016-P2-005a,APPSC,2016,paper2,5a,History,MT-HIST-M2-5-022,ANALYTICAL,L3,medium,first_time,false,Contribution of peasant movements in freedom struggle
APPSC-G1-2016-P2-005b,APPSC,2016,paper2,5b,History,MT-HIST-M2-5-023,ANALYTICAL,L3,hard,first_time,false,Role of communalism in partition of the country
APPSC-G1-2016-P2-006a,APPSC,2016,paper2,6a,AP History,MT-AP_HIST-M2-6-002,ANALYTICAL,L2,medium,first_time,false,Political fortunes and cultural contribution of Ikshvakus
APPSC-G1-2016-P2-006b,APPSC,2016,paper2,6b,AP History,MT-AP_HIST-M2-6-006,ANALYTICAL,L2,medium,first_time,false,Eastern Chalukyas contribution to literature art and architecture
APPSC-G1-2016-P2-007a,APPSC,2016,paper2,7a,AP History,MT-AP_HIST-M2-7-005,ANALYTICAL,L2,medium,first_time,false,Qutubshahis contribution to Telugu language and literature
APPSC-G1-2016-P2-007b,APPSC,2016,paper2,7b,AP History,MT-AP_HIST-M2-7-007,ANALYTICAL,L2,medium,first_time,false,Poet Molla her work and literary style
APPSC-G1-2016-P2-008a,APPSC,2016,paper2,8a,AP History,MT-AP_HIST-M2-9-004,ANALYTICAL,L2,medium,first_time,false,Gurram Jashuvas literary works contribution to social reform
APPSC-G1-2016-P2-008b,APPSC,2016,paper2,8b,AP History,MT-AP_HIST-M2-9-004,ANALYTICAL,L2,medium,first_time,false,Salient features of Dr Boyi Bhimannas literary works
APPSC-G1-2016-P2-009a,APPSC,2016,paper2,9a,AP History,MT-AP_HIST-M2-9-006,ANALYTICAL,L2,medium,first_time,false,Andhra Mahasabha contribution in socio-cultural development
APPSC-G1-2016-P2-009b,APPSC,2016,paper2,9b,AP History,MT-AP_HIST-M2-9-002,ANALYTICAL,L2,medium,first_time,false,Vandemataram movement and its impact on AP freedom struggle
APPSC-G1-2016-P2-010a,APPSC,2016,paper2,10a,AP History,MT-AP_HIST-M2-10-004,ANALYTICAL,L3,hard,first_time,false,Reasons for success and failure of Telangana armed struggle
APPSC-G1-2016-P2-010b,APPSC,2016,paper2,10b,AP History,MT-AP_HIST-M2-10-004,ANALYTICAL,L2,medium,first_time,false,Razakars and their role in resisting Hyderabad integration into India
APPSC-G1-2016-P2-011a,APPSC,2016,paper2,11a,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L3,medium,first_time,false,Indian constitution federal in form but unitary in spirit - discuss
APPSC-G1-2016-P2-011b,APPSC,2016,paper2,11b,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L3,hard,first_time,false,Effectiveness of Directive Principles implementation and improvements
APPSC-G1-2016-P2-012a,APPSC,2016,paper2,12a,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L3,medium,first_time,false,Concept of cooperative federalism and its existence in Indian polity
APPSC-G1-2016-P2-012b,APPSC,2016,paper2,12b,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,medium,first_time,false,Financial relations between Union and States and irritants encountered
APPSC-G1-2016-P2-013a,APPSC,2016,paper2,13a,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L3,medium,first_time,false,Judicial activism meaning and its impact on Indian polity
APPSC-G1-2016-P2-013b,APPSC,2016,paper2,13b,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,medium,first_time,false,Relative position of Rajya Sabha compared to Lok Sabha
APPSC-G1-2016-P2-014a,APPSC,2016,paper2,14a,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,medium,first_time,false,Procedure for amending constitution and criticism against it
APPSC-G1-2016-P2-014b,APPSC,2016,paper2,14b,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,hard,first_time,false,Basic structure doctrine of constitution with important Supreme Court judgements
APPSC-G1-2016-P2-015a,APPSC,2016,paper2,15a,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,medium,first_time,false,Special constitutional provisions for SCs STs backward classes Anglo-Indians
APPSC-G1-2016-P2-015b,APPSC,2016,paper2,15b,History,NO_REGISTRY_MATCH_CONSTITUTION,ANALYTICAL,L2,medium,first_time,false,Concept of minorities in Indian constitution and safeguards for their rights
APPSC-G1-2017-P2-001a,APPSC,2017,paper2,1a,History,MT-HIST-M2-2-003,ANALYTICAL,L3,medium,first_time,false,How Harappan civilization differed from later Vedic civilization
APPSC-G1-2017-P2-001b,APPSC,2017,paper2,1b,History,MT-HIST-M2-3-014,ANALYTICAL,L2,medium,first_time,false,Sangam age literature and political cultural life of that age
APPSC-G1-2017-P2-002a,APPSC,2017,paper2,2a,History,MT-HIST-M2-3-024,ANALYTICAL,L3,medium,first_time,false,Cholas cultural contribution and expansion in South East Asia
APPSC-G1-2017-P2-002b,APPSC,2017,paper2,2b,History,MT-HIST-M2-4-030,ANALYTICAL,L2,medium,first_time,false,Sufism main principles important orders and influence on Indian society
APPSC-G1-2017-P2-003a,APPSC,2017,paper2,3a,History,MT-HIST-M2-4-031,ANALYTICAL,L2,medium,first_time,false,Rise of Shivaji and his administrative military and revenue systems
APPSC-G1-2017-P2-003b,APPSC,2017,paper2,3b,History,MT-HIST-M2-5-010,ANALYTICAL,L3,medium,first_time,false,Impact of 1857 revolt on British rule and major policy changes after revolt
APPSC-G1-2017-P2-004a,APPSC,2017,paper2,4a,History,MT-HIST-M2-5-012,ANALYTICAL,L3,medium,first_time,false,Swami Vivekanandas teachings in arousing nationalism and service spirit
APPSC-G1-2017-P2-004b,APPSC,2017,paper2,4b,History,MT-HIST-M2-5-012,ANALYTICAL,L2,medium,first_time,false,Narayana Gurus contribution in social awakening and impact of teachings
APPSC-G1-2017-P2-005a,APPSC,2017,paper2,5a,History,MT-HIST-M2-5-020,ANALYTICAL,L3,medium,first_time,false,Revolutionary nationalists contribution to freedom movement and British impact
APPSC-G1-2017-P2-005b,APPSC,2017,paper2,5b,History,MT-HIST-M2-5-021,ANALYTICAL,L4,hard,first_time,false,Gandhi as politician among saints and saint among politicians - discuss
APPSC-G1-2017-P2-006a,APPSC,2017,paper2,6a,AP History,MT-AP_HIST-M2-6-001,ANALYTICAL,L2,medium,first_time,false,Origin expansion of Satavahana power and contribution to religion literature
APPSC-G1-2017-P2-006b,APPSC,2017,paper2,6b,AP History,MT-AP_HIST-M2-6-006,ANALYTICAL,L2,medium,repeat_topic,false,Vengi Chalukyas political significance and role in moulding Andhra culture
APPSC-G1-2017-P2-007a,APPSC,2017,paper2,7a,AP History,MT-AP_HIST-M2-7-007,ANALYTICAL,L3,medium,first_time,false,Growth of Telugu language and literature between 1000 AD and 1500 AD
APPSC-G1-2017-P2-007b,APPSC,2017,paper2,7b,AP History,MT-HIST-M2-4-016,ANALYTICAL,L2,medium,first_time,false,Characteristics of Vijayanagara architecture
APPSC-G1-2017-P2-008a,APPSC,2017,paper2,8a,AP History,MT-AP_HIST-M2-8-005,ANALYTICAL,L3,medium,first_time,false,Brahma Samaj Movement influence on Andhra social reformers and writings
APPSC-G1-2017-P2-008b,APPSC,2017,paper2,8b,AP History,MT-AP_HIST-M2-8-003,ANALYTICAL,L3,medium,first_time,false,Western education and Christian missionaries role in Andhra socio-cultural awakening
APPSC-G1-2017-P2-009a,APPSC,2017,paper2,9a,AP History,MT-AP_HIST-M2-8-005,ANALYTICAL,L3,medium,first_time,false,Tripuraneni Ramaswamy Chowdary movement objectives and results
APPSC-G1-2017-P2-009b,APPSC,2017,paper2,9b,AP History,MT-AP_HIST-M2-10-003,ANALYTICAL,L2,medium,first_time,false,Reasons and events leading to formation of Andhra Pradesh State in 1956
APPSC-G1-2017-P2-010a,APPSC,2017,paper2,10a,AP History,MT-AP_HIST-M2-10-005,ANALYTICAL,L3,hard,first_time,false,Problems in AP reorganisation and financial position after reorganisation
